fecha,ipc_anual,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,imacec_original,imacec_sa,imacec_promedio_3m,imacec_promedio_anual,imacec_sa_anual,imacec_acumulado_anual,imacec_sa_mensual,imacec_inicio_promedio,imacec_fin_promedio
2004-12-01,,,,,,,,66.1,61.7,63.5,8.300170551449693,8.626760563380298,6.663705019991117,0.16233766233766378,2004-11-01,2005-01-01
2005-01-01,,,,,,,,61.0,61.6,61.79999999999999,7.478260869565201,7.130434782608708,7.017543859649122,-0.16207455429497752,2004-12-01,2005-02-01
2005-02-01,,,,,,,,58.3,61.4,61.5,6.156501726121966,6.0449050086355705,6.613047363717595,-0.32467532467532756,2005-01-01,2005-03-01
2005-03-01,,,,,,,,65.2,62.0,62.63333333333333,5.918827508455471,5.982905982905984,6.156501726121966,0.9771986970684043,2005-02-01,2005-04-01
2005-04-01,,,,,,,,64.4,62.7,64.30000000000001,5.640744797371311,6.632653061224492,6.1860068259385725,1.1290322580645107,2005-03-01,2005-05-01
2005-05-01,,,,,,,,63.3,62.4,63.300000000000004,5.970982142857162,5.583756345177671,6.010186757215608,-0.4784688995215336,2005-04-01,2005-06-01
2005-06-01,,,,,,,,62.2,63.0,62.03333333333333,5.379388448471101,6.2394603709949426,6.062322946175636,0.9615384615384581,2005-05-01,2005-07-01
2005-07-01,,,,,,,,60.6,63.4,62.0,5.9225512528473745,4.966887417218535,5.8394160583941535,0.6349206349206327,2005-06-01,2005-08-01
2005-08-01,,,,,,,,63.2,64.8,61.666666666666664,5.774728416237829,6.930693069306915,5.977451606041262,2.208201892744488,2005-07-01,2005-09-01
2005-09-01,,,,,,,,61.2,64.4,63.333333333333336,5.672969966629582,5.92105263157896,5.9670392119719695,-0.6172839506172756,2005-08-01,2005-10-01
2005-10-01,,,,,,,,65.6,64.1,64.6,5.268875611080914,4.227642276422761,5.788761002031162,-0.46583850931678494,2005-09-01,2005-11-01
2005-11-01,,,,,,,,67.0,65.1,67.66666666666667,5.50935550935554,5.681818181818166,5.778049526138784,1.5600624024961096,2005-10-01,2005-12-01
2005-12-01,,,,,,,,70.4,65.7,67.23333333333333,5.879265091863517,6.482982171799034,5.844786894349574,0.9216589861751334,2005-11-01,2006-01-01
2006-01-01,,,,,,,,64.3,65.2,65.73333333333333,6.364617044228704,5.844155844155852,5.40983606557377,-0.7610350076103556,2005-12-01,2006-02-01
2006-02-01,,,,,,,,62.5,65.9,65.13333333333333,5.907859078590771,7.328990228013033,6.286672254819781,1.0736196319018454,2006-01-01,2006-03-01
2006-03-01,,,,,,,,68.6,65.6,66.23333333333333,5.747738158594995,5.806451612903207,5.907859078590771,-0.4552352048558639,2006-02-01,2006-04-01
2006-04-01,,,,,,,,67.6,66.3,68.03333333333332,5.806117159149782,5.741626794258359,5.664925672961019,1.0670731707317138,2006-03-01,2006-05-01
2006-05-01,,,,,,,,67.9,67.2,67.30000000000001,6.319115323854674,7.692307692307709,5.989750160153751,1.3574660633484337,2006-04-01,2006-06-01
2006-06-01,,,,,,,,66.4,67.3,66.2,6.716818914562062,6.825396825396823,6.116452991453003,0.14880952380951218,2006-05-01,2006-07-01
2006-07-01,,,,,,,,64.3,67.3,65.53333333333333,5.698924731182786,6.151419558359628,6.114942528735634,0.0,2006-06-01,2006-08-01
2006-08-01,,,,,,,,65.9,67.7,65.1,5.567567567567555,4.475308641975317,5.881172219991981,0.5943536404160454,2006-07-01,2006-09-01
2006-09-01,,,,,,,,65.1,68.5,67.16666666666667,6.052631578947376,6.36645962732918,5.934930282445494,1.1816838995568624,2006-08-01,2006-10-01
2006-10-01,,,,,,,,70.5,69.2,68.76666666666667,6.449948400412797,7.956318252730132,6.0960000000000125,1.0218978102189746,2006-09-01,2006-11-01
2006-11-01,,,,,,,,70.7,69.1,71.93333333333334,6.305418719211819,6.144393241167445,6.040462427745652,-0.14450867052023808,2006-10-01,2006-12-01
2006-12-01,,,,,,,,74.6,69.6,71.03333333333333,5.651958353991082,5.936073059360725,6.033578174186771,0.723589001447178,2006-11-01,2007-01-01
2007-01-01,,,,,,,,67.8,69.4,69.16666666666666,5.223123732251511,6.44171779141105,5.443234836702948,-0.2873563218390607,2006-12-01,2007-02-01
2007-02-01,,,,,,,,65.1,69.6,68.69999999999999,5.47594677584442,5.6145675265553585,4.8107255520504655,0.28818443804032867,2007-01-01,2007-03-01
2007-03-01,,,,,,,,73.2,71.1,69.93333333333334,5.586311021640666,8.384146341463406,5.47594677584442,2.155172413793105,2007-02-01,2007-04-01
2007-04-01,,,,,,,,71.5,70.7,72.03333333333335,5.879470847623747,6.636500754147812,5.551330798479093,-0.5625879043600457,2007-03-01,2007-05-01
2007-05-01,,,,,,,,71.4,70.7,71.0,5.49777117384842,5.208333333333326,5.469930492595965,0.0,2007-04-01,2007-06-01
2007-06-01,,,,,,,,70.1,70.7,69.43333333333334,4.884189325276944,5.052005943536408,5.48703750314623,0.0,2007-05-01,2007-07-01
2007-07-01,,,,,,,,66.8,69.9,68.73333333333333,4.883011190233977,3.8632986627043175,5.264298093587505,-1.1315417256011262,2007-06-01,2007-08-01
2007-08-01,,,,,,,,69.3,70.9,68.3,4.915514592933956,4.726735598227472,5.251184834123235,1.4306151645207432,2007-07-01,2007-09-01
2007-09-01,,,,,,,,68.8,71.9,70.5,4.962779156327546,4.963503649635048,5.298683766452905,1.4104372355430161,2007-08-01,2007-10-01
2007-10-01,,,,,,,,73.4,71.6,72.1,4.847309743092576,3.4682080924855363,5.172673804855976,-0.4172461752434131,2007-09-01,2007-11-01
2007-11-01,,,,,,,,74.1,72.1,75.36666666666666,4.772937905468022,4.341534008683068,5.137639683837558,0.6983240223463749,2007-10-01,2007-12-01
2007-12-01,,,,,,,,78.6,73.0,74.89999999999999,5.443453777569207,4.885057471264376,5.158337456704598,1.2482662968099856,2007-11-01,2008-01-01
2008-01-01,,,,,,,,72.0,73.2,73.5,6.265060240963871,5.475504322766556,6.194690265486735,0.273972602739736,2007-12-01,2008-02-01
